Date,Open,High,Low,Close,Adj Close,Volume
2013-11-01,83.360001,83.599998,82.440002,82.680000,82.680000,1064889
2013-11-04,83.150002,83.610001,82.550003,83.599998,83.599998,1149392
2013-11-05,81.260002,81.989998,79.559998,81.199997,81.199997,4387208
2013-11-06,81.709999,82.629997,81.000000,82.160004,82.160004,1471253
2013-11-07,82.150002,83.669998,81.570000,81.820000,81.820000,2408874
2013-11-08,81.410004,82.139999,80.430000,81.769997,81.769997,1915290
2013-11-11,82.000000,82.199997,81.790001,82.070000,82.070000,759352
2013-11-12,82.029999,82.430000,81.300003,81.540001,81.540001,1275324
2013-11-13,81.370003,81.379997,79.919998,80.959999,80.959999,1391905
2013-11-14,82.000000,82.309998,81.419998,81.599998,81.599998,1212672
2013-11-15,81.750000,82.000000,80.800003,81.550003,81.550003,2013462
2013-11-18,81.550003,83.269997,81.370003,83.199997,83.199997,1592756
2013-11-19,83.129997,83.430000,82.589996,83.019997,83.019997,865345
2013-11-20,82.839996,83.529999,82.650002,83.279999,83.279999,775433
2013-11-21,82.540001,83.529999,82.050003,83.139999,83.139999,822598
2013-11-22,83.370003,83.889999,83.120003,83.769997,83.769997,1104376
2013-11-25,84.180000,84.879997,83.930000,84.570000,84.570000,1363670
2013-11-26,84.160004,84.839996,84.139999,84.320000,84.320000,993111
2013-11-27,84.730003,85.000000,84.150002,84.800003,84.800003,726384
2013-11-28,84.959999,85.019997,84.639999,84.730003,84.730003,605633
2013-11-29,84.690002,84.989998,84.440002,84.570000,84.570000,669232
2013-12-02,84.720001,85.440002,84.519997,85.110001,85.110001,914591
2013-12-03,85.279999,85.459999,83.370003,83.519997,83.519997,1728503
2013-12-04,83.790001,83.790001,81.900002,82.540001,82.540001,1943799
2013-12-05,82.379997,82.489998,81.320000,81.580002,81.580002,1262632
2013-12-06,82.290001,82.629997,81.470001,82.139999,82.139999,1335002
2013-12-09,82.690002,82.889999,81.779999,82.110001,82.110001,964346
2013-12-10,82.139999,82.320000,80.739998,81.050003,81.050003,1213791
2013-12-11,80.919998,81.379997,80.510002,80.580002,80.580002,1174657
2013-12-12,80.440002,80.769997,79.330002,79.779999,79.779999,1856537
2013-12-13,80.050003,80.300003,79.669998,79.790001,79.790001,1081941
2013-12-16,79.690002,81.230003,79.349998,80.919998,80.919998,1543978
2013-12-17,80.769997,81.000000,80.410004,80.440002,80.440002,947912
2013-12-18,81.089996,82.139999,80.809998,82.139999,82.139999,1730612
2013-12-19,82.839996,83.599998,82.610001,83.389999,83.389999,1735613
2013-12-20,83.870003,84.349998,83.459999,83.989998,83.989998,2760556
2013-12-23,84.699997,84.949997,84.349998,84.550003,84.550003,820037
2013-12-27,84.550003,85.690002,84.550003,85.419998,85.419998,805858
2013-12-30,85.610001,85.730003,85.220001,85.220001,85.220001,483820
2014-01-02,85.220001,86.099998,83.379997,83.540001,83.540001,1499492
2014-01-03,83.629997,84.510002,83.349998,83.980003,83.980003,826285
2014-01-06,84.000000,84.529999,82.870003,82.989998,82.989998,987242
2014-01-07,83.099998,84.010002,82.410004,83.550003,83.550003,1231698
2014-01-08,83.820000,84.660004,83.730003,84.449997,84.449997,1435898
2014-01-09,84.129997,85.129997,83.540001,83.860001,83.860001,1297442
2014-01-10,83.739998,84.180000,83.029999,83.150002,83.150002,1964388
2014-01-13,83.500000,84.230003,83.279999,84.150002,84.150002,1077464
2014-01-14,83.330002,84.139999,83.110001,84.120003,84.120003,1071799
2014-01-15,84.699997,85.769997,84.610001,84.959999,84.959999,1541638
2014-01-16,84.930000,85.570000,84.489998,85.500000,85.500000,1371889
2014-01-17,85.750000,86.879997,85.739998,86.209999,86.209999,1779656
2014-01-20,86.120003,86.580002,85.580002,86.129997,86.129997,834723
2014-01-21,86.129997,86.540001,85.629997,85.930000,85.930000,939655
